#SuperClass-SubClass       #Link                                             #Frame Rate (fps)
Speaking-French            https://www.youtube.com/watch?v=IRG9Z7Y2uS4       30    
Speaking-WaitingRoom       https://www.youtube.com/watch?v=ey9J7w98wlI       50
Speaking-Cooking           https://www.youtube.com/watch?v=MzcdEI-tSUc       25
Speaking-AudiIntro         https://www.youtube.com/watch?v=72f3ayGhMEA       50
Speaking-Ellen             https://www.youtube.com/watch?v=-SbZ4_ir148       30
Speaking-GroveAction       https://www.youtube.com/watch?v=0cfJOmUaNNI       30
Speaking-Warehouse         https://www.youtube.com/watch?v=1LM84FSzW0g       60
Speaking-GroveConvo        https://www.youtube.com/watch?v=0cfJOmUaNNI       30
Speaking-Surfing           https://www.youtube.com/watch?v=SZYXQ-6bfiQ       30
Speaking-Passageway        https://www.youtube.com/watch?v=jb5YxiXIsjU       25
Speaking-RuralDriving      https://www.youtube.com/watch?v=72f3ayGhMEA       50
Speaking-Lawn              https://www.youtube.com/watch?v=ZuXCMpVR24I       30
Speaking-AudiAd            https://www.youtube.com/watch?v=72f3ayGhMEA       50
Speaking-ScenePlay         https://www.youtube.com/watch?v=Gq4Y4gL3zSg       24
Speaking-UrbanDriving      https://www.youtube.com/watch?v=n524y8uPUaU       30
Speaking-Interview         https://www.youtube.com/watch?v=UpFZ2YaKeqM       30
Speaking-Telephone         https://www.youtube.com/watch?v=idLVnagjl_s       30
Speaking-Walking           https://www.youtube.com/watch?v=1LM84FSzW0g       60
Speaking-Bridge            https://www.youtube.com/watch?v=1LM84FSzW0g       60
Speaking-Breakfast         https://www.youtube.com/watch?v=4SilhsTuDU0       30
Speaking-Debate            https://www.youtube.com/watch?v=-SbZ4_ir148       30
Speaking-BadmintonConvo    https://www.youtube.com/watch?v=Ngj6C_RMK1g       30
Speaking-Director          https://www.youtube.com/watch?v=J0Q4L68o3xE       30
Speaking-ChineseAd         https://www.youtube.com/watch?v=J0Q4L68o3xE       30
Speaking-Exhibition        https://www.youtube.com/watch?v=RbgxpagCY_c       30
Speaking-PianoConvo        https://www.youtube.com/watch?v=Pxe920CL0GY       30
Speaking-FilmingSite       https://www.youtube.com/watch?v=MYmMZxmSc1U       25
Speaking-Brothers          https://www.youtube.com/watch?v=Uy5LTocHmoA       30
Speaking-Rap               https://www.youtube.com/watch?v=g4fQ5iOVzsI       30
Speaking-Spanish           https://www.youtube.com/watch?v=JBrp8aG4lro       30
Speaking-Questions         https://www.youtube.com/watch?v=ey9J7w98wlI       50
Speaking-PianoMono         https://www.youtube.com/watch?v=Pxe920CL0GY       30
Speaking-Snowfield         https://www.youtube.com/watch?v=o7JEBWV4CmY       30
Speaking-Melodrama         https://www.youtube.com/watch?v=5h95uTtPeck       24
Speaking-Gymnasium         https://www.youtube.com/watch?v=kZB3KMhqqyI       30
Music-Guitar               https://www.youtube.com/watch?v=4fxKBGthpaw       25
Music-Subway               https://www.youtube.com/watch?v=bO43msZTfwA       30
Music-Jazz                 https://www.youtube.com/watch?v=SJIbpqgYWGw       30
Music-Bass                 https://www.youtube.com/watch?v=baRj0O4cqgI       30
Music-Canon                https://www.youtube.com/watch?v=MFVmxoXgeNQ       25
Music-MICOSinging          https://www.youtube.com/watch?v=gTB1nfK-0Ac       30
Music-Clarinet             https://www.youtube.com/watch?v=TCUsegqBZ_M       25
Music-Trumpet              https://www.youtube.com/watch?v=eGGFGota5_A       30
Music-PianoSaxophone       https://www.youtube.com/watch?v=MDwhMMSFkJ8       30
Music-Chorus               https://www.youtube.com/watch?v=dBM3eM9HOoA       25
Music-Studio               https://www.youtube.com/watch?v=6QUCaLvQ_3I       60
Music-Church               https://www.youtube.com/watch?v=SdGCX2H-_Uk       30
Music-Duet                 https://www.youtube.com/watch?v=Oak26yVbibQ       30
Music-Blues                https://www.youtube.com/watch?v=V3zp7XOGBhs       30
Music-Violins              https://www.youtube.com/watch?v=Bvu9m__ZX60       30
Music-SingingDancing       https://www.youtube.com/watch?v=1An41lDIJ6Q       25
Miscellanea-Beach          https://www.youtube.com/watch?v=RSYbTSTz91g       30
Miscellanea-BadmintonGym   https://www.youtube.com/watch?v=Ngj6C_RMK1g       30
Miscellanea-InVehicle      https://www.youtube.com/watch?v=P4KyjvsceZQ       30
Miscellanea-Japanese       https://www.youtube.com/watch?v=0suxwissusc       30
Miscellanea-Tennis         https://www.youtube.com/watch?v=nZJGt3ZVg3g       30
Miscellanea-Diesel         https://www.youtube.com/watch?v=eqmjLZGZ36k       30
Miscellanea-Park           https://www.youtube.com/watch?v=LThm7VYvwxY       30
Miscellanea-Lion           https://www.youtube.com/watch?v=nDu57CGqbLM       30
Miscellanea-Carriage       https://www.youtube.com/watch?v=gy4TI-6j5po       30
Miscellanea-Platform       https://www.youtube.com/watch?v=G8pABGosD38       30
Miscellanea-Dog            https://www.youtube.com/watch?v=I-43DzvhxX8       30
Miscellanea-RacingCar      https://www.youtube.com/watch?v=72f3ayGhMEA       50
Miscellanea-Train          https://www.youtube.com/watch?v=ByBF08H-wDA       30
Miscellanea-Football       https://www.youtube.com/watch?v=HNQMF7e6IL0       30
Miscellanea-ParkingLot     https://www.youtube.com/watch?v=72f3ayGhMEA       50
Miscellanea-Skiing         https://www.youtube.com/watch?v=RrGhiInqXhc       30
